0.41 57.5129
0.83 62.2001
0.41 57.5129
0.66 59.9204
0.81 61.9049
0.41 57.5129
0.32 56.9216
0.16 56.2304
0.65 59.8025
0.7 60.41
0.66 59.9204
0.39 57.3689
0.39 57.3689
0.25 56.5625
0.66 59.9204
0.17 56.2601
0.74 60.9284
0.65 59.8025
0.91 63.4529
0.16 56.2304
0.56 58.8224
0.67 60.0401
0.33 56.9801
0.09 56.0729
0.74 60.9284
0.91 63.4529
0.09 56.0729
0.45 57.8225
0.97 64.4681
0.06 56.0324
0.85 62.5025
0.37 57.2321
0.34 57.0404
0.06 56.0324
0.8 61.76
0.31 56.8649
0.73 60.7961
0.31 56.8649
0.08 56.0576
0.38 57.2996
0.45 57.8225
0.57 58.9241
0.02 56.0036
0.91 63.4529
0.4 57.44
0.67 60.0401
0.24 56.5184
0.32 56.9216
0.44 57.7424
0.47 57.9881
