0.47 29.56
0.3 21.4
0.56 33.88
0.43 27.64
0.58 34.84
0.51 31.48
0.48 30.04
0.59 35.32
0.5 31.0
0.47 29.56
0.34 23.32
0.77 43.96
0.14 13.72
0.19 16.12
0.81 45.88
0.74 42.52
0.03 8.44
0.47 29.56
0.46 29.08
0.85 47.8
0.86 48.28
0.73 42.04
0.06 9.88
0.8 45.4
0.5 31.0
0.25 19.0
0.39 25.72
0.91 50.68
0.03 8.44
0.84 47.32
0.95 52.6
0.34 23.32
0.07 10.36
0.84 47.32
0.41 26.68
0.55 33.4
0.68 39.64
0.53 32.44
0.22 17.56
0.76 43.48
0.22 17.56
0.63 37.24
0.44 28.12
0.7 40.6
0.59 35.32
0.74 42.52
0.52 31.96
0.34 23.32
0.2 16.6
0.91 50.68
