0.8 0.95 38.2867140625
0.5 0.08 12.250049152
0.51 0.89 20.9997891735
0.84 0.86 36.163605264
0.8 0.69 29.0260470235
0.77 0.93 35.3726255395
0.16 0.37 4.0512159355
0.1 0.72 6.272376448
0.01 0.63 4.4923548145
0.06 0.28 3.159015552
0.72 0.6 23.3472
0.11 0.6 4.6141
0.71 0.97 34.5327103855
0.14 0.59 4.7975864485
0.16 0.61 5.2140944515
0.67 0.05 19.6093046875
0.1 0.4 3.5236
0.85 0.52 30.302806048
0.53 0.64 15.003912736
0.19 0.07 4.3357252105
0.66 0.15 19.1183390625
0.89 0.99 46.5725507485
0.11 0.5 3.91645
0.88 0.87 39.1291138105
0.21 0.48 5.013905952
0.65 0.16 18.634072864
0.99 0.97 52.1447103855
0.99 0.32 39.314031648
0.2 0.2 4.4848
0.4 0.79 13.5355845985
0.06 0.98 16.692011952
0.15 0.65 5.5729359375
0.07 0.53 3.8085932395
0.63 0.55 18.4402265625
0.99 0.94 50.272260336
0.98 0.48 38.917005952
0.15 0.19 3.8362141485
0.21 0.72 7.534076448
0.57 0.75 18.5808703125
0.42 0.2 9.5316
0.25 0.21 5.3186261515
0.05 0.34 3.160653136
0.03 0.82 8.594397648
0.62 0.02 17.222800048
0.06 0.15 3.1343390625
0.62 0.44 17.470174336
0.85 0.61 30.9993944515
0.47 0.77 15.2334762355
0.36 0.58 8.779735152
0.57 0.77 19.0814762355
