0.028 0.954
0.03 0.922
0.056 0.924
0.042 0.884
0.112 0.906
0.176 0.908
0.124 0.856
0.07 0.828
0.1 0.766
0.158 0.818
0.168 0.776
0.144 0.75
0.136 0.682
0.078 0.676
0.106 0.606
0.182 0.656
0.21 0.698
0.182 0.714
0.196 0.598
0.176 0.522
0.162 0.51
0.126 0.548
0.164 0.572
0.278 0.556
0.264 0.632
0.234 0.558
0.218 0.478
0.19 0.424
0.228 0.394
0.29 0.414
0.276 0.486
0.348 0.52
0.34 0.424
0.338 0.346
0.336 0.298
0.328 0.288
0.424 0.268
0.392 0.362
0.404 0.402
0.44 0.424
0.458 0.444
0.406 0.466
0.432 0.374
0.456 0.342
0.482 0.366
0.474 0.394
0.488 0.416
0.514 0.412
0.518 0.37
0.508 0.328
0.518 0.288
0.584 0.298
0.552 0.364
0.554 0.372
0.57 0.41
0.574 0.462
0.592 0.46
0.622 0.406
0.632 0.402
0.664 0.476
0.676 0.508
0.686 0.534
0.65 0.552
0.666 0.56
0.702 0.588
0.754 0.608
0.752 0.64
0.72 0.682
0.69 0.646
0.746 0.574
0.736 0.516
0.708 0.484
0.672 0.446
0.666 0.486
0.75 0.534
0.768 0.574
0.776 0.626
0.8 0.624
0.82 0.584
0.818 0.56
0.796 0.546
0.82 0.614
0.848 0.62
0.87 0.614
0.89 0.566
0.852 0.522
0.84 0.498
0.874 0.484
0.916 0.476
0.91 0.544
0.948 0.53
0.966 0.512
0.99 0.484
0.932 0.464
0.88 0.472
0.89 0.422
0.932 0.4
0.956 0.386
0.966 0.362
0.796 0.49
0.472 0.468
0.14 0.272
0.14 0.136
0.63 0.768
0.882 0.464
0.966 0.432
0.344 0.43
0.262 0.382
0.154 0.734
0.09 0.83
0.096 0.888
0.754 0.46
0.71 0.412
0.818 0.436
0.982 0.406
